 ,Area,Mean,Min,Max
1,75,255,255,255
2,52,255,255,255
3,188,255,255,255
4,225,255,255,255
5,187,255,255,255
6,85,255,255,255
7,313,255,255,255
8,161,255,255,255
9,419,255,255,255
10,65,255,255,255
11,232,255,255,255
12,168,255,255,255
13,586,255,255,255
14,204,255,255,255
15,226,255,255,255
16,84,255,255,255
17,65,255,255,255
18,210,255,255,255
19,234,255,255,255
20,31,255,255,255
21,9,255,255,255
22,256,255,255,255
23,149,255,255,255
24,189,255,255,255
25,282,255,255,255
26,36,255,255,255
27,32,255,255,255
28,208,255,255,255
29,49,255,255,255
30,12,255,255,255
31,303,255,255,255
32,253,255,255,255
33,27,255,255,255
34,249,255,255,255
35,98,255,255,255
36,87,255,255,255
37,278,255,255,255
38,145,255,255,255
39,151,255,255,255
40,552,255,255,255
41,483,255,255,255
42,678,255,255,255
43,190,255,255,255
44,194,255,255,255
45,26,255,255,255
46,30,255,255,255
47,9,255,255,255
48,292,255,255,255
49,146,255,255,255
50,221,255,255,255
51,119,255,255,255
52,164,255,255,255
53,355,255,255,255
54,277,255,255,255
55,116,255,255,255
56,190,255,255,255
57,162,255,255,255
58,26,255,255,255
59,152,255,255,255
60,435,255,255,255
61,168,255,255,255
62,499,255,255,255
63,71,255,255,255
64,163,255,255,255
65,42,255,255,255
66,132,255,255,255
67,383,255,255,255
68,288,255,255,255
69,386,255,255,255
70,140,255,255,255
71,311,255,255,255
72,144,255,255,255
73,384,255,255,255
74,610,255,255,255
75,194,255,255,255
76,9,255,255,255
77,176,255,255,255
78,83,255,255,255
79,34,255,255,255
80,208,255,255,255
81,208,255,255,255
82,18,255,255,255
83,118,255,255,255
84,266,255,255,255
85,206,255,255,255
86,230,255,255,255
87,189,255,255,255
88,150,255,255,255
89,96,255,255,255
90,193,255,255,255
91,255,255,255,255
92,210,255,255,255
93,189,255,255,255
94,94,255,255,255
95,50,255,255,255
