 ,Area,Mean,Min,Max
1,18,255,255,255
2,106,255,255,255
3,94,255,255,255
4,78,255,255,255
5,30,255,255,255
6,16,255,255,255
7,14,255,255,255
8,111,255,255,255
9,9,255,255,255
10,45,255,255,255
11,59,255,255,255
12,33,255,255,255
13,82,255,255,255
14,134,255,255,255
15,71,255,255,255
16,75,255,255,255
17,55,255,255,255
18,100,255,255,255
19,93,255,255,255
20,18,255,255,255
21,44,255,255,255
22,55,255,255,255
23,121,255,255,255
24,9,255,255,255
25,161,255,255,255
26,98,255,255,255
27,120,255,255,255
28,95,255,255,255
29,138,255,255,255
30,96,255,255,255
31,59,255,255,255
32,41,255,255,255
33,65,255,255,255
34,34,255,255,255
35,22,255,255,255
36,68,255,255,255
37,47,255,255,255
38,76,255,255,255
39,18,255,255,255
40,72,255,255,255
41,14,255,255,255
42,9,255,255,255
43,79,255,255,255
44,35,255,255,255
45,103,255,255,255
46,47,255,255,255
47,9,255,255,255
48,23,255,255,255
49,36,255,255,255
50,9,255,255,255
51,21,255,255,255
52,37,255,255,255
53,22,255,255,255
54,38,255,255,255
55,9,255,255,255
56,95,255,255,255
57,18,255,255,255
58,40,255,255,255
59,33,255,255,255
60,114,255,255,255
61,38,255,255,255
62,109,255,255,255
63,78,255,255,255
64,42,255,255,255
