 ,Area,Mean,Min,Max
1,172,255,255,255
2,405,255,255,255
3,175,255,255,255
4,340,255,255,255
5,387,255,255,255
6,417,255,255,255
7,45,255,255,255
8,220,255,255,255
9,48,255,255,255
10,368,255,255,255
11,173,255,255,255
12,448,255,255,255
13,406,255,255,255
14,272,255,255,255
15,875,255,255,255
16,94,255,255,255
17,52,255,255,255
18,453,255,255,255
19,505,255,255,255
20,139,255,255,255
21,14,255,255,255
22,132,255,255,255
23,325,255,255,255
24,67,255,255,255
25,215,255,255,255
26,29,255,255,255
27,382,255,255,255
28,73,255,255,255
29,91,255,255,255
30,27,255,255,255
31,380,255,255,255
32,205,255,255,255
33,126,255,255,255
34,9,255,255,255
35,95,255,255,255
36,220,255,255,255
37,69,255,255,255
38,20,255,255,255
39,374,255,255,255
40,98,255,255,255
41,108,255,255,255
42,111,255,255,255
43,35,255,255,255
44,264,255,255,255
45,507,255,255,255
46,164,255,255,255
47,180,255,255,255
48,106,255,255,255
49,104,255,255,255
50,474,255,255,255
51,191,255,255,255
52,67,255,255,255
53,139,255,255,255
54,140,255,255,255
55,15,255,255,255
56,26,255,255,255
57,231,255,255,255
58,129,255,255,255
59,55,255,255,255
60,19,255,255,255
61,296,255,255,255
62,54,255,255,255
63,27,255,255,255
64,237,255,255,255
65,185,255,255,255
66,83,255,255,255
67,1247,255,255,255
68,303,255,255,255
69,163,255,255,255
70,228,255,255,255
71,46,255,255,255
72,43,255,255,255
73,470,255,255,255
74,9,255,255,255
75,181,255,255,255
76,213,255,255,255
77,205,255,255,255
78,14,255,255,255
79,15,255,255,255
