 ,Area,Mean,Min,Max
1,162,255,255,255
2,152,255,255,255
3,11,255,255,255
4,116,255,255,255
5,187,255,255,255
6,106,255,255,255
7,51,255,255,255
8,183,255,255,255
9,252,255,255,255
10,152,255,255,255
11,17,255,255,255
12,49,255,255,255
13,125,255,255,255
14,163,255,255,255
15,80,255,255,255
16,64,255,255,255
17,43,255,255,255
18,90,255,255,255
19,134,255,255,255
20,113,255,255,255
21,59,255,255,255
22,73,255,255,255
23,95,255,255,255
24,73,255,255,255
25,97,255,255,255
26,329,255,255,255
27,15,255,255,255
28,111,255,255,255
29,87,255,255,255
30,167,255,255,255
31,96,255,255,255
32,196,255,255,255
33,128,255,255,255
34,216,255,255,255
35,38,255,255,255
36,284,255,255,255
37,74,255,255,255
38,245,255,255,255
39,65,255,255,255
40,12,255,255,255
41,261,255,255,255
42,123,255,255,255
43,185,255,255,255
44,74,255,255,255
45,259,255,255,255
46,56,255,255,255
47,14,255,255,255
48,68,255,255,255
49,12,255,255,255
50,9,255,255,255
51,74,255,255,255
52,44,255,255,255
53,199,255,255,255
54,92,255,255,255
55,25,255,255,255
56,274,255,255,255
57,48,255,255,255
58,106,255,255,255
59,90,255,255,255
60,243,255,255,255
61,186,255,255,255
62,164,255,255,255
63,141,255,255,255
64,242,255,255,255
65,248,255,255,255
66,200,255,255,255
67,162,255,255,255
68,203,255,255,255
69,52,255,255,255
70,47,255,255,255
71,67,255,255,255
72,118,255,255,255
73,169,255,255,255
74,125,255,255,255
75,67,255,255,255
76,93,255,255,255
77,78,255,255,255
78,234,255,255,255
79,14,255,255,255
80,101,255,255,255
81,19,255,255,255
82,65,255,255,255
83,54,255,255,255
84,19,255,255,255
85,15,255,255,255
86,54,255,255,255
87,158,255,255,255
88,102,255,255,255
89,361,255,255,255
90,12,255,255,255
91,9,255,255,255
92,61,255,255,255
93,63,255,255,255
94,117,255,255,255
95,78,255,255,255
96,35,255,255,255
97,118,255,255,255
98,179,255,255,255
99,79,255,255,255
100,292,255,255,255
101,148,255,255,255
102,11,255,255,255
103,60,255,255,255
104,12,255,255,255
105,36,255,255,255
106,44,255,255,255
107,67,255,255,255
108,187,255,255,255
109,156,255,255,255
110,125,255,255,255
111,13,255,255,255
112,383,255,255,255
113,363,255,255,255
114,154,255,255,255
115,39,255,255,255
116,70,255,255,255
117,71,255,255,255
118,30,255,255,255
119,381,255,255,255
120,79,255,255,255
121,72,255,255,255
122,9,255,255,255
123,133,255,255,255
124,191,255,255,255
125,58,255,255,255
126,104,255,255,255
127,13,255,255,255
128,9,255,255,255
129,9,255,255,255
130,26,255,255,255
131,105,255,255,255
132,9,255,255,255
133,17,255,255,255
134,9,255,255,255
135,195,255,255,255
136,88,255,255,255
137,9,255,255,255
138,116,255,255,255
139,42,255,255,255
140,51,255,255,255
141,35,255,255,255
142,217,255,255,255
143,206,255,255,255
144,9,255,255,255
145,15,255,255,255
146,148,255,255,255
147,53,255,255,255
148,115,255,255,255
149,33,255,255,255
150,103,255,255,255
151,31,255,255,255
152,47,255,255,255
153,554,255,255,255
154,13,255,255,255
155,24,255,255,255
156,101,255,255,255
157,65,255,255,255
158,24,255,255,255
159,62,255,255,255
160,9,255,255,255
161,132,255,255,255
162,115,255,255,255
163,73,255,255,255
164,42,255,255,255
165,58,255,255,255
166,103,255,255,255
167,260,255,255,255
168,183,255,255,255
169,90,255,255,255
170,135,255,255,255
171,9,255,255,255
172,107,255,255,255
173,218,255,255,255
174,44,255,255,255
175,9,255,255,255
176,362,255,255,255
177,72,255,255,255
178,39,255,255,255
179,229,255,255,255
180,83,255,255,255
181,26,255,255,255
182,39,255,255,255
183,149,255,255,255
184,89,255,255,255
185,12,255,255,255
186,84,255,255,255
187,12,255,255,255
188,105,255,255,255
189,61,255,255,255
190,9,255,255,255
191,90,255,255,255
192,81,255,255,255
193,173,255,255,255
194,85,255,255,255
195,35,255,255,255
196,40,255,255,255
197,73,255,255,255
198,9,255,255,255
199,9,255,255,255
200,115,255,255,255
201,123,255,255,255
202,222,255,255,255
203,95,255,255,255
204,64,255,255,255
205,341,255,255,255
206,221,255,255,255
207,151,255,255,255
208,72,255,255,255
209,103,255,255,255
210,159,255,255,255
211,33,255,255,255
212,58,255,255,255
213,95,255,255,255
214,233,255,255,255
215,118,255,255,255
216,18,255,255,255
217,20,255,255,255
218,10,255,255,255
219,18,255,255,255
220,82,255,255,255
221,86,255,255,255
222,55,255,255,255
223,75,255,255,255
224,22,255,255,255
