 ,Area,Mean,Min,Max
1,184,255,255,255
2,189,255,255,255
3,107,255,255,255
4,255,255,255,255
5,212,255,255,255
6,199,255,255,255
7,317,255,255,255
8,284,255,255,255
9,9,255,255,255
10,225,255,255,255
11,164,255,255,255
12,264,255,255,255
13,441,255,255,255
14,13,255,255,255
15,21,255,255,255
16,10,255,255,255
17,9,255,255,255
18,212,255,255,255
19,171,255,255,255
20,438,255,255,255
21,166,255,255,255
22,367,255,255,255
23,83,255,255,255
24,148,255,255,255
25,132,255,255,255
26,438,255,255,255
27,515,255,255,255
28,141,255,255,255
29,293,255,255,255
30,207,255,255,255
31,123,255,255,255
32,809,255,255,255
33,50,255,255,255
34,326,255,255,255
35,223,255,255,255
36,161,255,255,255
37,365,255,255,255
38,54,255,255,255
39,98,255,255,255
40,136,255,255,255
41,96,255,255,255
42,88,255,255,255
43,209,255,255,255
44,161,255,255,255
45,94,255,255,255
46,106,255,255,255
47,16,255,255,255
48,240,255,255,255
49,295,255,255,255
50,195,255,255,255
51,51,255,255,255
52,251,255,255,255
53,385,255,255,255
54,479,255,255,255
55,63,255,255,255
56,9,255,255,255
57,53,255,255,255
58,232,255,255,255
59,195,255,255,255
60,75,255,255,255
61,255,255,255,255
62,94,255,255,255
63,38,255,255,255
64,391,255,255,255
65,44,255,255,255
66,37,255,255,255
67,172,255,255,255
68,24,255,255,255
69,41,255,255,255
70,228,255,255,255
71,60,255,255,255
72,21,255,255,255
73,39,255,255,255
74,46,255,255,255
75,60,255,255,255
76,15,255,255,255
