 ,Area,Mean,Min,Max
1,9,255,255,255
2,91,255,255,255
3,15,255,255,255
4,40,255,255,255
5,41,255,255,255
6,77,255,255,255
7,28,255,255,255
8,42,255,255,255
9,56,255,255,255
10,156,255,255,255
11,9,255,255,255
12,29,255,255,255
13,37,255,255,255
14,37,255,255,255
15,24,255,255,255
16,22,255,255,255
17,19,255,255,255
18,44,255,255,255
19,51,255,255,255
20,27,255,255,255
21,11,255,255,255
22,30,255,255,255
23,124,255,255,255
24,40,255,255,255
25,92,255,255,255
26,26,255,255,255
27,55,255,255,255
28,77,255,255,255
29,9,255,255,255
30,92,255,255,255
31,53,255,255,255
32,53,255,255,255
33,37,255,255,255
34,48,255,255,255
35,90,255,255,255
36,115,255,255,255
37,12,255,255,255
38,29,255,255,255
39,45,255,255,255
40,55,255,255,255
41,10,255,255,255
42,39,255,255,255
43,79,255,255,255
44,26,255,255,255
45,39,255,255,255
46,124,255,255,255
47,15,255,255,255
48,29,255,255,255
49,13,255,255,255
50,12,255,255,255
51,15,255,255,255
52,38,255,255,255
