Radii of counted particles (micrometer),Number of images analyzed,Total number of particles counted,Total imaged area (micrometer squared),Areal particle density (particle per square micrometer)
0.09578413474976603,6,1463,2386.0228862,0.6131542
0.0851064370892244,,,,
0.2673299626348522,,,,
0.226240166962212,,,,
0.5683682884163983,,,,
0.2417182632345179,,,,
0.10765207389751195,,,,
0.21753533845242504,,,,
0.2251704675088515,,,,
0.22409566200446618,,,,
0.11204783100223309,,,,
0.12430590768710004,,,,
0.24271504380661388,,,,
0.2543719265116813,,,,
0.09322943076532501,,,,
0.10306901375566646,,,,
0.08789755026709742,,,,
0.4215418423929101,,,,
0.0851064370892244,,,,
0.1629664198275657,,,,
0.3650659442703562,,,,
0.1702128741784488,,,,
0.19654489745293463,,,,
0.11418226719258903,,,,
0.1300022300297893,,,,
0.2972640051117352,,,,
0.2315145388345268,,,,
0.2822661190689439,,,,
0.16444125911810945,,,,
0.29152319422736517,,,,
0.2898620798839622,,,,
0.29888398443700415,,,,
0.20259384309366024,,,,
0.3690127178290955,,,,
0.1318463254006461,,,,
0.09827244872646732,,,,
0.08222062955905472,,,,
0.09578413474976603,,,,
0.06592316270032306,,,,
0.06592316270032306,,,,
0.32070562826853216,,,,
0.10765207389751195,,,,
0.11833569858292727,,,,
0.25626319364109584,,,,
0.2682315839555183,,,,
0.06592316270032306,,,,
0.07612151146172604,,,,
0.13897822979658467,,,,
0.2618550489655348,,,,
0.21191331938067762,,,,
0.3536442995640041,,,,
0.20730595769344848,,,,
0.1838509168468749,,,,
0.06592316270032306,,,,
0.10069929437503995,,,,
0.3084252270164635,,,,
0.31462534915615986,,,,
0.29152319422736517,,,,
0.09322943076532501,,,,
0.06592316270032306,,,,
0.2718081629882103,,,,
0.1407047336315559,,,,
0.2581406047738391,,,,
0.12813159682054792,,,,
0.24666188867716413,,,,
0.1354592224232912,,,,
0.2762137686859574,,,,
0.2636926508012922,,,,
0.08789755026709742,,,,
0.2627754561934532,,,,
0.1716254533716466,,,,
0.3138570321383618,,,,
0.2609313951210315,,,,
0.3432509067432932,,,,
0.2788237205449063,,,,
0.18515948081146513,,,,
0.12234821198930138,,,,
0.28735240424929814,,,,
0.22193043574811983,,,,
0.28312017886964186,,,,
