 ,Area,Mean,Min,Max
1,151,255,255,255
2,130,255,255,255
3,15,255,255,255
4,27,255,255,255
5,13,255,255,255
6,18,255,255,255
7,23,255,255,255
8,184,255,255,255
9,167,255,255,255
10,164,255,255,255
11,153,255,255,255
12,38,255,255,255
13,12,255,255,255
14,138,255,255,255
15,35,255,255,255
16,26,255,255,255
17,127,255,255,255
18,217,255,255,255
19,170,255,255,255
20,30,255,255,255
21,23,255,255,255
22,23,255,255,255
23,91,255,255,255
24,236,255,255,255
25,110,255,255,255
26,16,255,255,255
27,49,255,255,255
28,229,255,255,255
29,69,255,255,255
30,16,255,255,255
31,23,255,255,255
32,26,255,255,255
33,132,255,255,255
34,17,255,255,255
35,183,255,255,255
36,26,255,255,255
37,67,255,255,255
38,167,255,255,255
39,174,255,255,255
40,37,255,255,255
41,52,255,255,255
42,162,255,255,255
43,53,255,255,255
44,144,255,255,255
45,48,255,255,255
46,123,255,255,255
47,344,255,255,255
48,55,255,255,255
49,192,255,255,255
50,50,255,255,255
51,9,255,255,255
52,219,255,255,255
53,43,255,255,255
54,163,255,255,255
55,118,255,255,255
56,148,255,255,255
57,136,255,255,255
58,145,255,255,255
59,68,255,255,255
60,203,255,255,255
61,48,255,255,255
62,24,255,255,255
63,67,255,255,255
64,12,255,255,255
65,12,255,255,255
66,14,255,255,255
67,97,255,255,255
68,115,255,255,255
69,155,255,255,255
70,15,255,255,255
71,192,255,255,255
72,183,255,255,255
73,138,255,255,255
74,101,255,255,255
75,9,255,255,255
76,65,255,255,255
77,25,255,255,255
78,92,255,255,255
79,142,255,255,255
80,26,255,255,255
81,9,255,255,255
82,20,255,255,255
83,188,255,255,255
84,20,255,255,255
85,166,255,255,255
86,207,255,255,255
87,9,255,255,255
88,9,255,255,255
89,12,255,255,255
90,147,255,255,255
91,19,255,255,255
92,25,255,255,255
93,168,255,255,255
94,135,255,255,255
95,50,255,255,255
96,127,255,255,255
97,57,255,255,255
98,162,255,255,255
99,130,255,255,255
100,114,255,255,255
101,304,255,255,255
102,158,255,255,255
103,9,255,255,255
104,108,255,255,255
105,27,255,255,255
106,53,255,255,255
107,70,255,255,255
108,14,255,255,255
109,31,255,255,255
110,183,255,255,255
111,26,255,255,255
112,62,255,255,255
113,18,255,255,255
114,66,255,255,255
115,76,255,255,255
116,80,255,255,255
117,32,255,255,255
118,27,255,255,255
119,107,255,255,255
120,301,255,255,255
121,168,255,255,255
122,101,255,255,255
123,124,255,255,255
124,116,255,255,255
125,146,255,255,255
126,223,255,255,255
127,22,255,255,255
128,32,255,255,255
129,73,255,255,255
130,21,255,255,255
131,52,255,255,255
132,108,255,255,255
133,190,255,255,255
134,185,255,255,255
135,220,255,255,255
136,280,255,255,255
137,99,255,255,255
138,76,255,255,255
139,123,255,255,255
140,140,255,255,255
141,9,255,255,255
142,135,255,255,255
143,26,255,255,255
144,181,255,255,255
145,149,255,255,255
146,285,255,255,255
147,71,255,255,255
148,124,255,255,255
149,183,255,255,255
150,26,255,255,255
151,19,255,255,255
152,88,255,255,255
153,34,255,255,255
154,198,255,255,255
155,214,255,255,255
156,183,255,255,255
157,141,255,255,255
158,178,255,255,255
159,49,255,255,255
160,50,255,255,255
161,296,255,255,255
162,142,255,255,255
163,9,255,255,255
164,15,255,255,255
165,9,255,255,255
166,16,255,255,255
167,41,255,255,255
168,13,255,255,255
169,180,255,255,255
170,210,255,255,255
171,395,255,255,255
172,175,255,255,255
173,289,255,255,255
174,17,255,255,255
175,153,255,255,255
176,27,255,255,255
177,183,255,255,255
178,29,255,255,255
179,202,255,255,255
180,23,255,255,255
181,41,255,255,255
182,159,255,255,255
183,41,255,255,255
184,110,255,255,255
185,201,255,255,255
186,23,255,255,255
187,158,255,255,255
188,202,255,255,255
189,39,255,255,255
190,154,255,255,255
191,147,255,255,255
192,19,255,255,255
193,86,255,255,255
194,53,255,255,255
195,46,255,255,255
196,255,255,255,255
197,17,255,255,255
198,79,255,255,255
199,104,255,255,255
200,299,255,255,255
201,52,255,255,255
202,163,255,255,255
203,152,255,255,255
204,67,255,255,255
205,18,255,255,255
