 ,Area,Mean,Min,Max
1,75,255,255,255
2,42,255,255,255
3,1347,255,255,255
4,181,255,255,255
5,166,255,255,255
6,67,255,255,255
7,70,255,255,255
8,50,255,255,255
9,326,255,255,255
10,139,255,255,255
11,136,255,255,255
12,172,255,255,255
13,63,255,255,255
14,309,255,255,255
15,170,255,255,255
16,223,255,255,255
17,69,255,255,255
18,269,255,255,255
19,217,255,255,255
20,61,255,255,255
21,110,255,255,255
22,149,255,255,255
23,150,255,255,255
24,197,255,255,255
25,78,255,255,255
26,98,255,255,255
27,80,255,255,255
28,192,255,255,255
29,213,255,255,255
30,191,255,255,255
31,34,255,255,255
32,51,255,255,255
33,112,255,255,255
34,84,255,255,255
35,87,255,255,255
36,216,255,255,255
37,100,255,255,255
38,259,255,255,255
39,107,255,255,255
40,379,255,255,255
41,87,255,255,255
42,69,255,255,255
43,217,255,255,255
44,116,255,255,255
45,160,255,255,255
46,51,255,255,255
47,185,255,255,255
48,31,255,255,255
49,180,255,255,255
50,337,255,255,255
51,233,255,255,255
52,71,255,255,255
53,21,255,255,255
54,76,255,255,255
55,258,255,255,255
56,241,255,255,255
57,77,255,255,255
58,187,255,255,255
59,302,255,255,255
60,224,255,255,255
61,182,255,255,255
62,48,255,255,255
63,179,255,255,255
64,155,255,255,255
65,319,255,255,255
66,127,255,255,255
67,185,255,255,255
68,162,255,255,255
69,386,255,255,255
70,202,255,255,255
71,174,255,255,255
72,248,255,255,255
73,91,255,255,255
74,53,255,255,255
75,209,255,255,255
76,497,255,255,255
77,200,255,255,255
78,229,255,255,255
79,188,255,255,255
80,127,255,255,255
81,99,255,255,255
82,531,255,255,255
83,71,255,255,255
84,210,255,255,255
85,160,255,255,255
86,240,255,255,255
87,252,255,255,255
88,164,255,255,255
89,184,255,255,255
90,63,255,255,255
91,191,255,255,255
92,210,255,255,255
93,89,255,255,255
94,177,255,255,255
95,187,255,255,255
96,188,255,255,255
97,83,255,255,255
98,93,255,255,255
99,98,255,255,255
100,143,255,255,255
101,233,255,255,255
102,82,255,255,255
103,468,255,255,255
104,72,255,255,255
105,245,255,255,255
106,223,255,255,255
107,202,255,255,255
108,9,255,255,255
109,184,255,255,255
110,163,255,255,255
111,59,255,255,255
112,83,255,255,255
113,164,255,255,255
114,197,255,255,255
115,173,255,255,255
116,169,255,255,255
117,147,255,255,255
118,150,255,255,255
119,186,255,255,255
120,151,255,255,255
121,377,255,255,255
122,101,255,255,255
123,160,255,255,255
124,510,255,255,255
125,70,255,255,255
126,427,255,255,255
127,201,255,255,255
128,51,255,255,255
129,210,255,255,255
130,200,255,255,255
131,297,255,255,255
132,102,255,255,255
133,83,255,255,255
134,88,255,255,255
135,238,255,255,255
136,164,255,255,255
137,75,255,255,255
138,235,255,255,255
139,51,255,255,255
140,70,255,255,255
141,133,255,255,255
142,372,255,255,255
143,178,255,255,255
144,87,255,255,255
145,74,255,255,255
146,155,255,255,255
147,165,255,255,255
148,201,255,255,255
149,143,255,255,255
150,129,255,255,255
151,139,255,255,255
152,276,255,255,255
153,118,255,255,255
154,168,255,255,255
155,396,255,255,255
156,49,255,255,255
157,194,255,255,255
158,204,255,255,255
159,39,255,255,255
160,89,255,255,255
161,160,255,255,255
162,115,255,255,255
163,209,255,255,255
164,83,255,255,255
165,97,255,255,255
166,30,255,255,255
167,163,255,255,255
168,87,255,255,255
169,190,255,255,255
170,152,255,255,255
171,187,255,255,255
172,124,255,255,255
173,277,255,255,255
174,94,255,255,255
175,253,255,255,255
176,90,255,255,255
177,217,255,255,255
178,79,255,255,255
179,172,255,255,255
180,222,255,255,255
181,118,255,255,255
182,69,255,255,255
183,119,255,255,255
184,67,255,255,255
185,199,255,255,255
186,71,255,255,255
187,125,255,255,255
188,245,255,255,255
189,59,255,255,255
190,209,255,255,255
191,189,255,255,255
192,233,255,255,255
193,118,255,255,255
194,224,255,255,255
195,65,255,255,255
196,47,255,255,255
197,150,255,255,255
198,232,255,255,255
199,98,255,255,255
200,166,255,255,255
201,240,255,255,255
202,95,255,255,255
203,58,255,255,255
204,204,255,255,255
205,87,255,255,255
206,164,255,255,255
207,268,255,255,255
208,54,255,255,255
209,165,255,255,255
210,134,255,255,255
211,115,255,255,255
212,271,255,255,255
213,242,255,255,255
214,96,255,255,255
215,238,255,255,255
216,97,255,255,255
217,191,255,255,255
218,73,255,255,255
219,95,255,255,255
220,134,255,255,255
221,96,255,255,255
222,101,255,255,255
223,303,255,255,255
224,243,255,255,255
225,288,255,255,255
226,141,255,255,255
227,73,255,255,255
228,79,255,255,255
229,154,255,255,255
230,107,255,255,255
231,98,255,255,255
232,236,255,255,255
233,170,255,255,255
234,85,255,255,255
235,222,255,255,255
236,224,255,255,255
237,53,255,255,255
238,96,255,255,255
239,63,255,255,255
240,54,255,255,255
241,155,255,255,255
242,311,255,255,255
243,37,255,255,255
244,204,255,255,255
245,165,255,255,255
246,116,255,255,255
247,110,255,255,255
248,110,255,255,255
249,246,255,255,255
250,106,255,255,255
251,120,255,255,255
252,65,255,255,255
